date,microcephaly
2016-02-13,2
2016-02-20,0
2016-02-27,0
2016-03-05,0
2016-03-12,5
2016-03-19,2
2016-03-26,0
2016-04-02,12
2016-04-09,14
2016-04-16,1
2016-04-23,6
2016-04-30,2
2016-05-07,3
2016-05-14,8
2016-05-21,6
2016-05-28,3
2016-06-04,2
2016-06-11,4
2016-06-18,2
2016-06-25,8
2016-07-02,3
2016-07-02,4
2016-07-16,0
2016-07-23,8
2016-07-30,2
2016-08-06,11
2016-08-13,9
2016-08-20,0
2016-08-27,1
2016-09-03,4
2016-09-10,8
2016-09-17,0
2016-09-24,0
2016-10-01,0
2016-10-08,0
2016-10-15,5
2016-10-22,5
2016-10-29,5
2016-11-05,4
2016-11-12,0
2016-11-19,6
2016-11-26,8